factor_name,period_days,ic_value,ic_mean,ic_std,icir,t_statistic,p_value,hit_rate,sample_count,analysis_date
value_score,3,0.042059,0.049659,0.093538,0.5309,22.055,,0.7,274498,2026-01-14
value_score,30,0.069314,0.070103,0.082981,0.8448,33.9988,,0.7444,239437,2026-01-14
value_score,60,0.084681,0.086909,0.068385,1.2709,36.6361,,0.9,185836,2026-01-14
value_score,90,0.102724,0.102763,0.035351,2.9069,37.23,,1.0,129971,2026-01-14
quality_score,3,0.025376,0.029411,0.050137,0.5866,13.2992,,0.74,274498,2026-01-14
quality_score,30,0.031297,0.027988,0.040647,0.6886,15.3218,,0.7,239437,2026-01-14
quality_score,60,0.02881,0.027844,0.029418,0.9465,12.4248,,0.7857,185836,2026-01-14
quality_score,90,0.037438,0.036956,0.015249,2.4235,13.5061,,1.0,129971,2026-01-14
momentum_score,3,0.018499,-0.014239,0.078192,-0.1821,9.6935,,0.41,274498,2026-01-14
momentum_score,30,-0.028704,0.024358,0.055055,0.4424,-14.0513,,0.6333,239437,2026-01-14
momentum_score,60,-0.021426,0.053393,0.057949,0.9214,-9.2387,,0.7714,185836,2026-01-14
momentum_score,90,0.09998,0.100853,0.034731,2.9038,36.2255,,1.0,129971,2026-01-14
growth_score,3,0.067142,0.069784,0.070682,0.9873,35.2566,,0.86,274498,2026-01-14
growth_score,30,0.232118,0.23782,0.067149,3.5417,116.7693,,1.0,239437,2026-01-14
growth_score,60,0.362564,0.366699,0.04813,7.619,167.7066,,1.0,185836,2026-01-14
growth_score,90,0.480389,0.482723,0.027835,17.3422,197.463,,1.0,129971,2026-01-14
final_score,3,0.054443,0.049896,0.064278,0.7762,28.5663,,0.79,274498,2026-01-14
final_score,30,0.165628,0.165447,0.065923,2.5097,82.1805,,1.0,239437,2026-01-14
final_score,60,0.245802,0.249203,0.056898,4.3798,109.3152,,1.0,185836,2026-01-14
final_score,90,0.333108,0.338084,0.053621,6.3051,127.3633,,1.0,129971,2026-01-14
sector_rotation_score,3,0.023191,0.00832,0.074741,0.1113,12.1534,,0.5152,274498,2026-01-14
sector_rotation_score,30,0.031402,0.023251,0.059613,0.39,15.3732,,0.6322,239437,2026-01-14
sector_rotation_score,60,0.063781,0.052127,0.060617,0.8599,27.5511,,0.7353,185836,2026-01-14
sector_rotation_score,90,0.093543,0.095687,0.066229,1.4448,33.872,,0.9375,129971,2026-01-14
factor_combination_bonus,3,0.037761,0.038805,0.051666,0.7511,19.7979,,0.75,274498,2026-01-14
factor_combination_bonus,30,0.156936,0.152312,0.054779,2.7805,77.7556,,1.0,239437,2026-01-14
factor_combination_bonus,60,0.227773,0.227828,0.04497,5.0663,100.84,,1.0,185836,2026-01-14
factor_combination_bonus,90,0.297014,0.301453,0.050195,6.0056,112.1376,,1.0,129971,2026-01-14
