grade,period_days,avg_return,median_return,std_return,hit_rate,win_rate,sample_count
매수,3,0.7448,,6.577,0.4811,0.4811,13018
중립,3,0.2491,,11.6204,0.4437,0.4437,98697
매도,3,-0.3118,-0.2985,4.4826,0.4032,0.4032,16963
매수,30,6.5896,1.2145,27.7388,0.5563,0.5563,11664
중립,30,1.2109,-0.9091,18.3006,0.4344,0.4344,84094
매도,30,-1.7428,-2.5102,19.2118,0.3497,0.3497,14645
매수,60,11.4302,2.7439,35.893,0.577,0.577,11031
중립,60,2.9656,-0.8393,28.3865,0.4577,0.4577,75762
매도,60,-3.0807,-5.835,45.2914,0.2493,0.2493,9909
매수,90,18.1774,5.5556,46.9463,0.6161,0.6161,9145
중립,90,4.6886,-0.8028,39.5791,0.4659,0.4659,61585
매도,90,-9.9551,-12.4026,49.4286,0.1171,0.1171,4638
